clip_id,variant_id,variant_type,duration_ms,snr_db,T60,band_filter,audio_path,label,ground_truth,dataset,group_id,sr,rms,container_duration_ms
esc50_1-45645-A-31_0152_1000ms,esc50_1-45645-A-31_0152_1000ms_snr-15dB,snr,,-15.0,,,/mnt/fast/nobackup/users/gb0048/opro3_final/audits/round2/b4_extended_snr/audio/esc50_1-45645-A-31_0152_1000ms_snr-15dB.wav,NONSPEECH,NONSPEECH,esc50,1-45645-A-31,16000,0.1755654662847519,2000
esc50_1-45645-A-31_0152_1000ms,esc50_1-45645-A-31_0152_1000ms_snr-20dB,snr,,-20.0,,,/mnt/fast/nobackup/users/gb0048/opro3_final/audits/round2/b4_extended_snr/audio/esc50_1-45645-A-31_0152_1000ms_snr-20dB.wav,NONSPEECH,NONSPEECH,esc50,1-45645-A-31,16000,0.31171712279319763,2000
esc50_2-28314-B-12_0155_1000ms,esc50_2-28314-B-12_0155_1000ms_snr-15dB,snr,,-15.0,,,/mnt/fast/nobackup/users/gb0048/opro3_final/audits/round2/b4_extended_snr/audio/esc50_2-28314-B-12_0155_1000ms_snr-15dB.wav,NONSPEECH,NONSPEECH,esc50,2-28314-B-12,16000,0.9883098006248474,2000
esc50_2-28314-B-12_0155_1000ms,esc50_2-28314-B-12_0155_1000ms_snr-20dB,snr,,-20.0,,,/mnt/fast/nobackup/users/gb0048/opro3_final/audits/round2/b4_extended_snr/audio/esc50_2-28314-B-12_0155_1000ms_snr-20dB.wav,NONSPEECH,NONSPEECH,esc50,2-28314-B-12,16000,1.7479678392410278,2000
esc50_1-54918-A-14_0493_1000ms,esc50_1-54918-A-14_0493_1000ms_snr-15dB,snr,,-15.0,,,/mnt/fast/nobackup/users/gb0048/opro3_final/audits/round2/b4_extended_snr/audio/esc50_1-54918-A-14_0493_1000ms_snr-15dB.wav,NONSPEECH,NONSPEECH,esc50,1-54918-A-14,16000,0.8646160364151001,2000
esc50_1-54918-A-14_0493_1000ms,esc50_1-54918-A-14_0493_1000ms_snr-20dB,snr,,-20.0,,,/mnt/fast/nobackup/users/gb0048/opro3_final/audits/round2/b4_extended_snr/audio/esc50_1-54918-A-14_0493_1000ms_snr-20dB.wav,NONSPEECH,NONSPEECH,esc50,1-54918-A-14,16000,1.535915732383728,2000
esc50_5-209698-A-38_0146_1000ms,esc50_5-209698-A-38_0146_1000ms_snr-15dB,snr,,-15.0,,,/mnt/fast/nobackup/users/gb0048/opro3_final/audits/round2/b4_extended_snr/audio/esc50_5-209698-A-38_0146_1000ms_snr-15dB.wav,NONSPEECH,NONSPEECH,esc50,5-209698-A-38,16000,0.3112657070159912,2000
esc50_5-209698-A-38_0146_1000ms,esc50_5-209698-A-38_0146_1000ms_snr-20dB,snr,,-20.0,,,/mnt/fast/nobackup/users/gb0048/opro3_final/audits/round2/b4_extended_snr/audio/esc50_5-209698-A-38_0146_1000ms_snr-20dB.wav,NONSPEECH,NONSPEECH,esc50,5-209698-A-38,16000,0.5464549660682678,2000
voxconverse_ktzmw_0377_1000ms,voxconverse_ktzmw_0377_1000ms_snr-15dB,snr,,-15.0,,,/mnt/fast/nobackup/users/gb0048/opro3_final/audits/round2/b4_extended_snr/audio/voxconverse_ktzmw_0377_1000ms_snr-15dB.wav,SPEECH,SPEECH,voxconverse,ktzmw,16000,0.8003712892532349,2000
voxconverse_ktzmw_0377_1000ms,voxconverse_ktzmw_0377_1000ms_snr-20dB,snr,,-20.0,,,/mnt/fast/nobackup/users/gb0048/opro3_final/audits/round2/b4_extended_snr/audio/voxconverse_ktzmw_0377_1000ms_snr-20dB.wav,SPEECH,SPEECH,voxconverse,ktzmw,16000,1.431527018547058,2000
esc50_2-114587-A-0_0243_1000ms,esc50_2-114587-A-0_0243_1000ms_snr-15dB,snr,,-15.0,,,/mnt/fast/nobackup/users/gb0048/opro3_final/audits/round2/b4_extended_snr/audio/esc50_2-114587-A-0_0243_1000ms_snr-15dB.wav,NONSPEECH,NONSPEECH,esc50,2-114587-A-0,16000,0.7289252281188965,2000
esc50_2-114587-A-0_0243_1000ms,esc50_2-114587-A-0_0243_1000ms_snr-20dB,snr,,-20.0,,,/mnt/fast/nobackup/users/gb0048/opro3_final/audits/round2/b4_extended_snr/audio/esc50_2-114587-A-0_0243_1000ms_snr-20dB.wav,NONSPEECH,NONSPEECH,esc50,2-114587-A-0,16000,1.2897759675979614,2000
